,country,date,close,index1
334,USA,2020-02-25,159.98,334
335,USA,2020-02-25,159.98,335
336,USA,2020-02-25,159.98,336
337,USA,2020-02-21,180.2,337
338,USA,2020-02-21,180.2,338
339,Norway,2020-02-21,180.2,339
340,USA,2020-02-20,179.88,340
341,USA,2020-02-18,171.68,341
342,USA,2020-02-18,171.68,342
343,USA,2020-02-14,160.01,343
344,USA,2020-02-14,160.01,344
345,USA,2020-02-14,160.01,345
346,USA,2020-02-13,160.8,346
347,Sweden,2020-02-13,160.8,347
348,Sweden,2020-02-11,154.88,348
349,USA,2020-02-07,149.61,349
350,USA,2020-02-07,149.61,350
351,USA,2020-02-07,149.61,351
352,USA,2020-02-07,149.61,352
353,USA,2020-02-06,149.79,353
354,USA,2020-02-06,149.79,354
355,USA,2020-01-30,128.16,355
356,USA,2020-01-30,128.16,356
357,USA,2020-01-30,128.16,357
358,USA,2020-01-30,128.16,358
359,USA,2020-01-29,116.2,359
360,USA,2020-01-28,113.38,360
361,USA,2020-01-28,113.38,361
362,USA,2020-01-28,113.38,362
363,Canada,2020-01-28,113.38,363
364,USA,2020-01-28,113.38,364
365,Taiwan,2020-01-27,111.6,365
