Supercharger,Street Address,City,State,Zip,Country,Stalls,kW,GPS,Elev(m),Status,Open Date,Links
"Fort Lauderdale, FL",2620 W Broward Blvd,Fort Lauderdale,FL,33312,USA,8,250,"26.120885, -80.177098",2,OPEN,4/6/2020,gmap | forum | tesla
"Gympie, QLD",Cnr Nash and Monkland St,Gympie,QLD,4570,Australia,4,150,"-26.188285, 152.661475",63,OPEN,4/6/2020,gmap | forum | tesla
"Niagara Falls, ON",3770 Montrose Rd,Niagara Falls,ON,L2H 3C8,Canada,12,250,"43.116772, -79.124184",191,OPEN,4/3/2020,gmap | forum | tesla
"Hualien - DAKA, Taiwan",972 Suhua Highway,Xiulin Township,Hualien County,263,Taiwan,4,120,"24.3013591, 121.7513107",17,OPEN,3/31/2020,gmap | forum | tesla
"Lakewood, CO",14500 W Colfax Ave,Lakewood,CO,80401,USA,16,250,"39.733697, -105.154154",1750,OPEN,3/31/2020,gmap | forum | tesla
"Kitchener (SC), ON",663 Victoria St N,Kitchener,ON,N2H 5G3,Canada,8,250,"43.461295, -80.472305",323,OPEN,3/31/2020,gmap | forum | tesla
"Chengdu - Wuyue Plaza, China",Northwest corner at the intersection of Wuhou Avenue and Wuer Road,"Wuhou District, Chengdu",Sichuan,,China,12,150,"30.6258049, 103.988644",495,OPEN,3/31/2020,gmap | forum | tesla
"Chengdu - Hailun City Plaza, China",388 Electronic Road,Xindu District 3,Sichuan,,China,8,150,"30.8138103, 104.1591601",492,OPEN,3/31/2020,gmap | forum | tesla
"Camberwell, VIC",793 Burke Rd,Camberwell,VIC,3124,Australia,6,150,"-37.828879, 145.056387",52,OPEN,3/31/2020,gmap | forum | tesla
"Osaka - Toyonaka, Japan",1-1-20 Kamitsujima,Osaka,Osaka,,Japan,8,120,"34.757218, 135.461799",7,OPEN,3/31/2020,gmap | forum | tesla
"Forks, WA",100 Fern Hill Rd,Forks,WA,98331,USA,8,250,"47.942522, -124.384748",93,OPEN,3/30/2020,gmap | forum | tesla
"Katowice - Jankego, Poland","Generała Zygmunta Waltera Jankego, 15c",Katowice,,40-615,Poland,4,150,"50.220179, 18.990308",289,OPEN,3/30/2020,gmap | forum | tesla
"Shanghai - Gubei 1699, China",1699 Gubei Road,Minhang District,Shanghai,,China,10,120,"31.188757751934183, 121.40182256698",4,OPEN,3/29/2020,gmap | forum | tesla
"Novato, CA",208 Vintage Way,Novato,CA,94945,USA,20,150,"38.089447, -122.551755",3,OPEN,3/28/2020,gmap | forum | tesla
"Emeryville - Christie Ave, CA",5795 Christie Ave,Emeryville,CA,94608,USA,12,250,"37.837506, -122.295407",4,OPEN,3/28/2020,gmap | forum | tesla
"Mission Viejo, CA",555 Shops Blvd,Mission Viejo,CA,92691,USA,10,72,"33.557279, -117.668035",120,OPEN,3/25/2020,gmap | forum | tesla
"Leon Springs, TX",24165 W I-10 Frontage Rd,San Antonio,TX,78257,USA,10,150,"29.665289, -98.633387",348,OPEN,3/25/2020,gmap | forum | tesla
"Vancouver - NE Vancouver Mall Dr, WA",8700 NE Vancouver Mall Dr,Vancouver,WA,98662,USA,8,250,"45.659872, -122.582467",74,OPEN,3/24/2020,gmap | forum | tesla
"London, ON",4350 Wellington Rd S,London,ON,N6E 2Z6,Canada,12,250,"42.917358, -81.208505",262,OPEN,3/24/2020,gmap | forum | tesla
"Tacna, AZ",9250 South Ave 40E,Tacna,AZ,95352,USA,8,250,"32.690622, -113.953578",112,OPEN,3/24/2020,gmap | forum | tesla
"Michigan City, IN",5150 Franklin St,Michigan City,IN,46360,USA,8,250,"41.673833, -86.891234",201,OPEN,3/24/2020,gmap | forum | tesla
