,country,city,status,open_date,lat,long
815,USA,Livermore,OPEN,2018-11-22,37.700349,-121.841063
816,Netherlands,Badhoevedorp,OPEN,2018-11-21,52.328927,4.78492
817,China,Qufu,OPEN,2018-11-20,35.580702,116.990551
818,China,Shanghai,OPEN,2018-11-20,31.32295772,121.47601362
819,China,Tianjin,OPEN,2018-11-20,39.109849,117.147113
820,USA,St. Joseph,OPEN,2018-11-20,39.768966,-94.801118
821,USA,Milpitas,OPEN,2018-11-16,37.434536,-121.891387
822,Sweden,Torsby,OPEN,2018-11-16,60.129704,12.998069
823,USA,Fort Worth,OPEN,2018-11-12,32.758293,-97.353585
824,USA,Rosemont,OPEN,2018-11-06,41.975091,-87.866501
825,USA,Buford,OPEN,2018-11-06,34.061572,-83.994606
826,China,"Sheung Shui, New Territories",OPEN,2018-11-06,22.50271,114.12782
827,Norway,Røldal,OPEN,2018-11-02,59.816824,6.752226
828,USA,Baltimore,OPEN,2018-10-25,39.268454,-76.59925
829,Taiwan,Pingtung City,OPEN,2018-10-24,22.243673,120.663738
830,USA,Issaquah,OPEN,2018-10-20,47.548026,-122.040026
831,USA,Pecos,OPEN,2018-10-15,31.400223,-103.486931
832,USA,Fort Stockton,OPEN,2018-10-15,30.905492,-102.88453
833,USA,Pembroke Pines,OPEN,2018-10-12,26.006948,-80.348953
834,Australia,Canberra,OPEN,2018-10-12,-35.294342,149.190228
835,Canada,Surrey,OPEN,2018-10-06,49.192318,-122.806073
836,USA,Daly City,OPEN,2018-10-05,37.673998,-122.472257
837,USA,Queens,OPEN,2018-10-03,40.735082,-73.87067
838,USA,Brooklyn,OPEN,2018-09-29,40.670085,-73.962826
839,Japan,Kisarazu,OPEN,2018-09-29,35.435631,139.924555
840,USA,Carlsbad,OPEN,2018-09-28,33.084189,-117.266384
841,Belgium,Brugge,OPEN,2018-09-28,51.170127,3.197162
842,Mexico,Compostela,OPEN,2018-09-28,21.232561,-104.924919
843,Switzerland,Quinto,OPEN,2018-09-27,46.515263,8.67061
844,China,Guangzhou,OPEN,2018-09-26,23.4999783,113.22678235
845,USA,Los Gatos,OPEN,2018-09-24,37.229926,-121.979384
